ID,color_blind,yrs_english,video_games,device,headphones,order_of_levels,level1,sleep1,start_time1,OffTime1,OnTime1,Total_runs_Stroop_Off1,Total_runs_Stroop_On1,OnTime_minus_OffTime1,level2,sleep2,start_time2,OffTime2,OnTime2,Total_runs_Stroop_Off2,Total_runs_Stroop_On2,OnTime_minus_OffTime2,level3,sleep3,start_time3,OffTime3,OnTime3,Total_runs_Stroop_Off3,Total_runs_Stroop_On3,OnTime_minus_OffTime3,ID,,
62,No,6,No,iPhone / iPod,In-ear headphones; not noise cancelling,,QUI,9,18:11:00,63.706,62.831,5,8,-0.875,CLA,9,18:23:00,58.762,62.393,5,7,3.631,EDS,9,18:28:00,58.441,70.672,5,5,12.231,62,,
63,No,4,Yes,Android phone,In-ear headphones; not noise cancelling,Song with lyrics (Shape of You by Ed Sheeran);Control (quiet);Classical (Mozart);,EDS,6,11:02:00,53.741,58.63,5,5,4.889,QUI,6,11:09:00,51.668,55.224,5,5,3.556,CLA,6,11:13:00,46.927,52.892,5,5,5.965,63,,
64,No,15,No,iPhone / iPod,In-ear headphones; noise cancelling,Song with lyrics (Shape of You by Ed Sheeran);Classical (Mozart);Control (quiet);,EDS,7,16:17:00,54.925,71.675,5,6,16.75,CLA,7,16:22:00,61.895,63.709,6,5,1.814,QUI,9,7:15:00,55.649,68.191,5,5,12.543,64,,
65,No,16,Yes,iPad tablet,In-ear headphones; not noise cancelling,Control (quiet);Classical (Mozart);Song with lyrics (Shape of You by Ed Sheeran);,QUI,9,20:15:00,60.732,68.133,6,8,7.401,CLA,9,20:25:00,55.163,61.198,7,6,6.035,EDS,9,20:30:00,50.501,60.396,6,8,9.895,65,,
66,No,15,No,iPhone / iPod,In-ear headphones; not noise cancelling,Control (quiet);Classical (Mozart);Song with lyrics (Shape of You by Ed Sheeran);,QUI,7,23:00:00,11.127,12.943,2,3,1.816,CLA,7,14:00:00,11.577,12.342,1,1,0.772,EDS,7,15:30:00,12.064,12.142,2,2,,66,,
67,No,6,Yes,iPhone / iPod,In-ear headphones; not noise cancelling,Control (quiet);Song with lyrics (Shape of You by Ed Sheeran);Classical (Mozart);,QUI,9,15:31:00,62.486,69.903,5,6,7.417,EDS,9,15:39:00,55.643,67.244,5,5,11.601,CLA,9,15:44:00,56.125,62.655,5,5,6.53,67,,
68,No,4,Yes,iPad tablet,In-ear headphones; noise cancelling,Song with lyrics (Shape of You by Ed Sheeran);Classical (Mozart);Control (quiet);,QUI,6,16:00:00,46.423,51.247,9,5,4.824,EDS,6,16:00:00,44.28,40.749,-3.532,5,5,CLA,6,16:00:00,40.698,44.014,7,6,3.316,68,,
69,No,4,No,iPhone / iPod,In-ear headphones; not noise cancelling,Classical (Mozart);Control (quiet);Song with lyrics (Shape of You by Ed Sheeran);,CLA,8,20:18:00,60.174,72.374,5,5,12.2,QUI,8,20:27:00,61.929,61.739,5,5,-0.19,EDS,8,20:33:00,58.824,66.793,5,5,7.969,69,,
70,No,17,Yes,iPhone / iPod,In-ear headphones; not noise cancelling,Control (quiet);Song with lyrics (Shape of You by Ed Sheeran);Classical (Mozart);,QUI,6,11:00:00,48.742,55.761,5,5,7.019,EDS,6,11:00:00,45.96,53.425,5,5,7.465,CLA,6,11:00:00,46.507,52.875,5,5,6.368,70,,
71,No,4,Yes,iPhone / iPod,Over-ear headphones; noise cancelling,Control (quiet);Song with lyrics (Shape of You by Ed Sheeran);Classical (Mozart);,QUI,8,20:10:00,51.193,57.235,5,7,6.042,EDS,8,16:17:00,47.983,56.477,8,9,8.494,CLA,8,16:22:00,46.76,51.594,6,7,4.834,71,,
72,No,18,Yes,Android phone,Over-ear headphones; not noise cancelling,Control (quiet);Song with lyrics (Shape of You by Ed Sheeran);Classical (Mozart);,QUI,9,23:00:00,54.248,70.825,5,5,16.577,EDS,8,0:00:00,52.843,74.112,5,6,21.269,CLA,8,0:00:00,49.804,73.3,6,5,23.496,72,,
